21:05:45: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 50] Logger initialized
21:05:45: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 4.0) m/s
21:05:46: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 1.0) m/s
21:05:46: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 0.6666666666666666) m/s
21:05:47: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 0.5) m/s
21:05:47: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 0.4) m/s
21:05:48: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 0.3333333333333333) m/s
21:05:48: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 0.2857142857142857) m/s
21:05:49: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 2.5, 0.25) m/s
21:05:49: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222) m/s
21:05:50: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 6.0, 0.2) m/s
21:05:50: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182) m/s
21:05:51: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666) m/s
21:05:51: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385) m/s
21:05:52: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285) m/s
21:05:53: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333) m/s
21:05:53: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (3.75, 0.0, 0.125) m/s
21:05:54: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941) m/s
21:05:54: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111) m/s
21:05:55: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 0.10526315789473684) m/s
21:05:55: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 1.0, 0.1) m/s
21:05:56: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523) m/s
21:05:56: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091) m/s
21:05:57: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043) m/s
21:05:57: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333) m/s
21:05:58: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (2.4, 2.4, 0.08) m/s
21:05:58: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693) m/s
21:05:59: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407) m/s
21:05:59: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142) m/s
21:06:00: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931) m/s
21:06:00: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667) m/s
21:06:01: [INFO] [/Users/jiabaowu/repos/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 102] Average velocity: (0.0, 0.0, 0.06451612903225806) m/s
